sample_id, sample_time_start, sample_time_end, port_0_rx_bytes, port_0_tx_bytes, port_0_rx_packets, port_0_tx_packets, pcie_link_latency_total_read_packets, pcie_link_latency_total_read_ns, pcie_link_latency_max_read_ns, pcie_link_latency_min_read_ns
90,1284272.248649466,1284272.248686600, 22652510535509, 9567864025854244, 237326734224, 8900272197359, 1072, 661139, 982, 482
91,1284272.248750262,1284272.248787280, 22652510536309, 9567864027092660, 237326734234, 8900272198500, 1078, 671671, 992, 485
92,1284272.248850860,1284272.248888044, 22652510537309, 9567864028326956, 237326734244, 8900272199641, 1070, 658669, 982, 485
93,1284272.248951788,1284272.248988796, 22652510538309, 9567864029562686, 237326734252, 8900272200783, 1076, 669757, 1001, 482
94,1284272.249053146,1284272.249090072, 22652510539309, 9567864030805988, 237326734262, 8900272201935, 1073, 652207, 1046, 483
95,1284272.249153970,1284272.249190882, 22652510540309, 9567864032046224, 237326734272, 8900272203079, 1076, 671244, 1035, 483
96,1284272.249254754,1284272.249291920, 22652510541109, 9567864033283586, 237326734282, 8900272204222, 1077, 665478, 992, 483
97,1284272.249356426,1284272.249393352, 22652510542109, 9567864034528708, 237326734290, 8900272205373, 1084, 670353, 1028, 483
98,1284272.249457230,1284272.249494194, 22652510543109, 9567864035765494, 237326734300, 8900272206519, 1076, 666585, 1000, 485
99,1284272.249557744,1284272.249595414, 22652510543909, 9567864037006592, 237326734310, 8900272207665, 1072, 660548, 973, 483
100,1284272.249657834,1284272.249695040, 22652510544909, 9567864038231208, 237326734320, 8900272208795, 1063, 658060, 992, 485
101,1284272.249757862,1284272.249794704, 22652510545909, 9567864039455154, 237326734328, 8900272209925, 1059, 655410, 978, 485
102,1284272.249858692,1284272.249895676, 22652510546909, 9567864040693184, 237326734338, 8900272211073, 1077, 662753, 1003, 485
103,1284272.249958798,1284272.249995744, 22652510547709, 9567864041924510, 237326734348, 8900272212208, 1066, 659660, 992, 483
104,1284272.250059482,1284272.250096626, 22652510548709, 9567864043159572, 237326734358, 8900272213349, 1068, 663800, 994, 485
105,1284272.250159846,1284272.250196804, 22652510549709, 9567864044389266, 237326734368, 8900272214485, 1065, 656094, 976, 487
106,1284272.250261078,1284272.250298078, 22652510550709, 9567864045631704, 237326734376, 8900272215637, 1081, 659301, 998, 482
107,1284272.250362186,1284272.250399164, 22652510551709, 9567864046875294, 237326734386, 8900272216784, 1077, 660476, 1025, 487
108,1284272.250462364,1284272.250499606, 22652510552509, 9567864048104894, 237326734396, 8900272217920, 1069, 663280, 996, 485
109,1284272.250563738,1284272.250600728, 22652510553509, 9567864049345896, 237326734404, 8900272219066, 1074, 663871, 994, 485
110,1284272.250663814,1284272.250700872, 22652510554509, 9567864050574632, 237326734414, 8900272220205, 1067, 661550, 1007, 483
111,1284272.250764764,1284272.250801834, 22652510555509, 9567864051816018, 237326734424, 8900272221350, 1076, 663771, 980, 482
112,1284272.250866254,1284272.250903484, 22652510556309, 9567864053061908, 237326734434, 8900272222500, 1083, 673816, 1042, 485
113,1284272.250966656,1284272.251003670, 22652510557309, 9567864054290740, 237326734442, 8900272223636, 1066, 652991, 983, 483
114,1284272.251067416,1284272.251104682, 22652510558309, 9567864055529538, 237326734452, 8900272224784, 1078, 664605, 1007, 485
115,1284272.251168100,1284272.251205120, 22652510559309, 9567864056765846, 237326734462, 8900272225924, 1066, 665741, 1001, 487
116,1284272.251268836,1284272.251306034, 22652510560309, 9567864058002632, 237326734472, 8900272227067, 1075, 656276, 966, 485
117,1284272.251369926,1284272.251406912, 22652510561109, 9567864059240088, 237326734482, 8900272228212, 1076, 667300, 1042, 482
118,1284272.251471172,1284272.251508226, 22652510562109, 9567864060482814, 237326734490, 8900272229362, 1080, 667523, 994, 483
119,1284272.251572654,1284272.251609556, 22652510563109, 9567864061731194, 237326734500, 8900272230512, 1081, 674091, 1075, 485
120,1284272.251673726,1284272.251710926, 22652510563909, 9567864062971910, 237326734510, 8900272231660, 1071, 659750, 1007, 485
121,1284272.251774970,1284272.251811868, 22652510564909, 9567864064211762, 237326734520, 8900272232806, 1076, 665892, 1062, 487
122,1284272.251875004,1284272.251911914, 22652510565909, 9567864065439254, 237326734528, 8900272233942, 1068, 659807, 992, 483
123,1284272.251975290,1284272.252012200, 22652510566909, 9567864066672398, 237326734538, 8900272235079, 1070, 659337, 1005, 483
124,1284272.252075468,1284272.252112620, 22652510567909, 9567864067902478, 237326734548, 8900272236216, 1066, 653071, 980, 485
125,1284272.252176678,1284272.252213598, 22652510568709, 9567864069141754, 237326734558, 8900272237361, 1069, 658198, 982, 483
126,1284272.252277992,1284272.252315074, 22652510569709, 9567864070385440, 237326734568, 8900272238514, 1084, 661585, 998, 483
127,1284272.252379498,1284272.252416548, 22652510570709, 9567864071634106, 237326734576, 8900272239665, 1082, 662008, 982, 483
128,1284272.252479736,1284272.252516984, 22652510571709, 9567864072864568, 237326734586, 8900272240802, 1070, 661776, 985, 482
129,1284272.252580134,1284272.252617276, 22652510572509, 9567864074094360, 237326734596, 8900272241939, 1071, 665182, 987, 485
130,1284272.252680504,1284272.252717812, 22652510573509, 9567864075328080, 237326734604, 8900272243082, 1075, 660292, 1026, 483
131,1284272.252781524,1284272.252818798, 22652510574509, 9567864076569082, 237326734614, 8900272244227, 1079, 669567, 1026, 423
132,1284272.252882264,1284272.252919666, 22652510575509, 9567864077805292, 237326734624, 8900272245370, 1073, 659107, 1033, 482
133,1284272.252983734,1284272.253020838, 22652510576509, 9567864079047732, 237326734634, 8900272246518, 1082, 682130, 1191, 487
134,1284272.253084732,1284272.253121972, 22652510577309, 9567864080287872, 237326734644, 8900272247667, 1084, 668776, 996, 421
135,1284272.253185640,1284272.253222846, 22652510578309, 9567864081527628, 237326734652, 8900272248811, 1077, 664119, 1010, 482
136,1284272.253285708,1284272.253323150, 22652510579309, 9567864082756364, 237326734662, 8900272249947, 1071, 668233, 1266, 485
